program_id,focus_sectors,location,program_name,program_type,pogram_description,program_objectives,program_eligibility,funding,organizations,org_category,further_info,update_date
5230,Residential,Prince Edward Island,New Home Construction Program,"Advice,Energy Management and Monitoring,Energy Star,Financial Incentive,Retrofit",,"This Program helps residents make their new home more energy efficient.<ul>
<li>A certified Energy Advisor will review the building plans before construction begins. </li>
<li>Customized recommendations are provided to improve the energy efficiency of design. </li>
<li>Two tiers of rebates are available <ul> 

<li>ENERGY STAR® for New Homes or EnerGuide rating of 20% better than code (a rebate of $2000)</li>
<li>R2000 or EnerGuide rating of 50% better than code (a rebate of $5000)</li></ul>

</li><li>The home will be assigned an EnerGuide rating that tells the homeowner that their home is comfortable, efficient and saves money.</li></ul>",,,Efficiency PEI,Provincial government,,2018-11-21 00:00:00.0
5287,Commercial/Institutional,British Columbia,Continuous Optimization,"Financial Incentive,Retrofit","<ol start="" 2""="">
<li><b>Recommission Your Building </b><p>Recommission your building to re-assess building performance after Round 1 is complete (5 years after the conservation measures were implemented) or include new buildings as opportunities. The Continuous Optimization program will provide funding to have an approved recommissioning service provider conduct an in-depth assessment of the building. Buildings don't need to participate in Round 1 to be eligible. The Recommission option is for customers who would like a more comprehensive review of their building operations.</p></li>
<li><b>Real Time Energy Management</b><p>Real Time Energy Management (RTEM) is for customers who choose to be on the leading edge of innovation by incorporating the next generation of software being used to drive energy conservation in commercial building operations. The Continuous Optimization program will provide funding for an approved service provider to work with an approved software provider to install specialized energy management information software in your building and use it as part of the recommissioning process to assess your building.</p></li>
</ol><p></p><p>*Round 1 refers to the first intake of applications, which took place from 2008 to 2016. Round 2 is a second intake of applications in 2017 available to Round 1 participants. Round 2 provides a follow-up review of the efficiency of buildings that had been recommissioned in Round 1. It's best practice to revisit your business' energy-efficiency systems every five years.</p>","This Program provides customer assistance to save energy and improve operations in large commercial buildings. The primary focus is on reducing the energy consumption of heating ventilation and air-conditioning (HVAC) systems by making improvements to the Building Automation System. Additional systems of interest include lighting, refrigeration, and other energy intensive systems with complex operating strategies and control systems.<p><b>Offers:</b></p><ol type="" 1""="">
<li><b>Refresh Your Building</b>
<p>The Refresh offer is for customers who are primarily interested in conducting a review of Round 1* measures, and who are not interested in a comprehensive review for additional conservation opportunities. This may be the case for customers who are confident that all measures were discovered in Round 1. The Refresh option is the most cost-effective way to make sure you maintain the benefits and energy savings from your Round 1 project.</p></li></ol>",,,BC Hydro - Business Customers - Commercial,Utility company,,2022-01-31 00:00:00.0
5308,Residential,Newfoundland and Labrador,takeCHARGE MyHome Program,"Advice,Energy Management and Monitoring",,"This new tool was created to help residents reduce their electricity use and understand how their home's usage changes over time. The tool provides personalized energy saving tips, allows homeowners to create a custom energy savings plan and ask questions to energy experts.",,,Newfoundland Power and Newfoundland and Labrador Hydro,Utility company,,2018-11-21 00:00:00.0
5326,Residential,New Brunswick,Total Home Energy Savings Program,"Advice,Energy Star,Financial Incentive,Retrofit",,"This Program offers money back on efficiency upgrades on everything from insulation and air-sealing to high efficiency central heating systems to windows, doors, and more (including ENERGY STAR certified products). A certified energy advisor will evaluate the home to find out where it needs upgrades and will give customized recommendations to improve space and water heating energy efficiency.",,,NB Power,Utility company,,2018-11-21 00:00:00.0
5327,Residential,New Brunswick,New Home Energy Savings Program,"Advice,Financial Incentive",,"This Program offers custom recommendations on residents' building plans and access of up to $10,000 in incentives for energy efficiency improvements.",,,NB Power,Utility company,,2018-11-21 00:00:00.0
5346,Residential,New Brunswick,Community Outreach Program,"Advice,Financial Incentive",,"Through this Program, not-for-profit organizations receive energy-savings kits and training on how to install these products. Energy efficiency kits include LED light bulbs, water-efficient showerheads, faucet aerators, weatherstripping, power bars, and electrical outlet covers. ",,,NB Power,Utility company,,2024-05-27 00:00:00.0
5347,Industrial,New Brunswick,Industrial Energy Efficiency Program,"Advice,Financial Incentive",,"This Program helps industrial facility managers in New Brunswick with advice and incentives for studies, projects, and energy management information systems. By studying and implementing energy efficiency measures, facilities can better manage energy costs while improving productivity and competitiveness.",,,NB Power,Utility company,,2022-05-15 00:00:00.0
5349,Commercial/Institutional,Yukon,"Energy efficiency upgrades for commercial, institutional, and community buildings","Energy Star,Financial Incentive,Rebate,Retrofit",,"This Program promotes energy efficiency upgrades in Yukon commercial, institutional, and community buildings. Rebates are offered when building owners install 1 or more eligible standard upgrade measures, which will reduce your energy use or carbon emissions. Rebates are offered for:<ul>
<li>LED lighting upgrades (including ENERGY STAR certified products) of commercial and institutional buildings </li>
<li>thermal enclosure upgrades to multi-use residential buildings and mixed-use buildings (including ENERGY STAR certified windows)</li></ul>",,,"Government of Yukon, Energy, Mines and Resources",Provincial government,,2022-05-15 00:00:00.0
5366,Transportation,Quebec,New Vehicle Rebate,Rebate,,"This Program offers individuals, businesses, organization and Québec municipalities a rebate of up to $8000 on the purchase or lease of a new electric vehicle. The amount of the rebate depends on the type of vehicle and conditions (selling price, electric battery capacity, model year, year of purchase). Moreover, the vehicle must be included in the list of eligible new vehicles.",,,"Gouvernement du Québec, Transition énergétique Québec",Provincial government,,2018-11-21 00:00:00.0
5367,Residential,Yukon,Rebate on your ENERGY STAR appliances Program,"Energy Star,Financial Incentive,Rebate,Retrofit",,"This Program offers rebates towards the purchase of ENERGY STAR certified washers, refrigerators, freezers, dishwashers and ventless dryers.",,,"Government of Yukon, Energy, Mines and Resources",Provincial government,,2022-05-15 00:00:00.0
